"ESPN's TOP 10 ALL-TIME ATHLETES","$200","No. 2: 1912 Olympian; football star at Carlisle Indian School; 6 MLB seasons with the Reds, Giants & Braves","Jim Thorpe"
"EVERYBODY TALKS ABOUT IT...","$200","The city of Yuma in this state has a record average of 4,055 hours of sunshine each year","Arizona"
"THE COMPANY LINE","$200","In 1963, live on "The Art Linkletter Show", this company served its billionth burger","McDonald's"
"EPITAPHS & TRIBUTES","$200","Signer of the Dec. of Indep., framer of the Constitution of Mass., second President of the United States","John Adams"
"3-LETTER WORDS","$200","In the title of an Aesop fable, this insect shared billing with a grasshopper","the ant"
"GEOGRAPHY "E"","$200","It's the largest kingdom in the United Kingdom","England"
"RADIO DISNEY","$200",""Party In The U.S.A." is by this singer who also plays a young lady named Hannah","Miley Cyrus"
"PARTS OF PEACH","$200","If this part of a peach is downy or fuzzy, the fruit's called a peach; if it's smooth, a nectarine","the skin"
"BE FRUITFUL & MULTIPLY","$200","4 x 12","48"
"LET'S BOUNCE","$200","This verb for bouncing a basketball sounds like you're slobbering","dribbling"
"RHYMES WITH SMART","$200","Blood pumper","heart"
"ROYAL FEMALE NICKNAMES","$200","She was "The Untamed Heifer" & "The Virgin Queen"","Elizabeth I"
"TV ACTORS & ROLES","$200","Barbra Streisand knows he played Lt. Col. Bill "Raider" Kelly on "Pensacola: Wings of Gold"","James Brolin"
"TRAVEL & TOURISM","$200","The home of silk merchant Jim Thompson, who disappeared in 1967, is a tourist attraction in this Thai city","Bangkok"
""I" LADS","$200","Czar at 17, he was famous for extraordinary sadism & cruelty, even as a boy","Ivan the Terrible"
"FOREWORDS","$200","Part 2 "is Lilliput in reverse, but...also offers some of" his "fiercest assaults upon the behavior of" his countrymen","Jonathan Swift"
"BACKWORDS","$200","Ed leaves pools of water on the carpet when he comes in from sailing this boat","Sloop (pools)"
"PEOPLE IN HISTORY","$200","After a 15-year stay in England, this proprietor of Pennsylvania returned to his colony in 1699","William Penn"
"CINEMATIC DICTIONARY","$200","SFX is the standard abbreviation for these, from the rustling of trees to cannon fire","Sound effects"
"IT'S OURS!","$200","Saint-Pierre & Miquelon","France"
"BRITISH FASHION","$200","Designer Vivienne Westwood ran a shop with Malcolm McLaren, who launched this Johnny Rotten band","The Sex Pistols"
"ANDY WARHOL","$200","Because he had the same thing for lunch every day for 20 years, Andy Warhol painted these, beginning in 1962","Campbell's Soup cans"
"THEATRE CROSSWORD CLUES "M"","$200","Lerner & Loewe's "Lusty Month" (3)","May"
"GENERAL SCIENCE","$200","The time it takes for 50% of the atoms to decay in a radioactive substance is called this","Half-life"
"GETTING POSSESSIVE","$200","At 14,140 feet, this Rocky Mountain peak discovered in 1806 is one of Colorado's highest","Pike's Peak"
"FLAGS OF THE WORLD","$200","Seen here is the flag of this nation (the home of Bollywood)","India"
"ARCHITECTS","$200","William Pereira erected his Transamerica "Pyramid" in this city","San Francisco"
"1994 FILMS","$200","As mad bomber Howard Payne in this film, Dennis Hopper planted a bomb on an L.A. area transit bus","Speed"
"THE EYES HAVE IT","$200","A blow with a whip","Lash"
"ALASKA","$200","4 different species of bears live in Alaska:  Kodiak, grizzly, black & this","Polar bears"
"INTERNATIONAL SPORTSMEN","$200","Nike's stock fell when this basketball player announced his retirement in January 1999","Michael Jordan"
"DRAMA QUEENS","$200","In Euripides' play about this famed beauty, it's her double who goes to Troy","Helen"
"ANGELS","$200","In 1996 John Travolta spread his wings as this archangel","Michael"
"IN EXILE","$200","Porfirio Diaz seized power in this country in 1876, ruled for 35 years, fled in 1911 & died in exile","Mexico"
"THE "I"s HAVE IT","$200","This term for a fluid can also mean "to sign" as a contract","Ink"
"THE CIVIL WAR","$200","His first act after being sworn in as president of the Confederacy was to send a peace commission to Washington, D.C.","Jefferson Davis"
"CELEBS","$200","On Sept. 14, 2005 she gave birth to Sean Preston Federline","Britney Spears"
"WHAT'S IN A NAME?","$200","Yeah, baby!  Meaning "magnificent", this Texas-sounding name comes with certain "Powers"","Austin"
"EMOTICONS","$200",";-) Ocular act that sends a signal","winking"
"FLAG 'EM DOWN","$200","The Alamo is located in this city & is depicted on its flag","San Antonio"
""TEEN" SCENE","$200","Numerically speaking, read up on "Fun Stuff", "Fashion", "Health" & "Stars" at this magazine.com","seventeen.com"
"OLD FOLKS IN THEIR 30s","$200","goop.com is a lifestyles website from this Oscar-winning actress; the g & p represent her initials","Gwyneth Paltrow"
"MOVIES & TV","$200","On March 19, 2009 he said, "I'm excited and honored to introduce my first guest... Barack Obama"","Jay Leno"
"A STATE OF COLLEGE-NESS","$200","Baylor, Stephen F. Austin, Rice","Texas"
"ANIMAL COLLECTIVE","$200","Synonym for dignity that's the term for a group of lions","a pride"
"I'D RATHER BE SKIING","$200","If you're a beginner, you might hippity-hop over to this smaller, gentler slope","a bunny hill"
"PARLEZ VOUS?","$200","If your mate from Marseilles says he's getting to LAX via "Sud-Ouest", pick him up at this carrier","Southwest"
"AMERICAN EXPLORERS","$200","Stephen Long & Zebulon Pike have peaks named for them in this state, an area they said was uninhabitable","Colorado"
"MEASURING DEVICES","$200","The energy from this is measured by a pyrheliometer","the Sun"
"MYTHOLOGY","$200","Cadmus planted these parts of a dragon to raise some troops","teeth"
"TELEVISION","$200",""Freddy's Nightmares", a horror anthology that debuted in 1988, was based on this movie series","Nightmare on Elm Street"
"ANNUAL EVENTS","$200","Monroe, near Snohomish in this state, is the site of the annual Evergreen State Fair","Washington"
"HOMOPHONIC PAIRS","$200","In a restaurant, it's a quartet's table request","for four"
"NOTABLE NONHUMANS","$200","This Nazi dictator sometimes dined alone with Blondi, his Alsatian","Adolf Hitler"
"WORLD FACTS","$200","This isthmus connects North & South America","Isthmus of Panama"
"ART & ARTISTS","$200","He painted "Irises" & "Pink Roses" as well as "Sunflowers"","Vincent Van Gogh"
"BUSINESS & INDUSTRY","$200","It has over 9,700 tax preparation offices worldwide","H&R Block"
"HISTORY","$200","Historians refer to the Golden Age as the time during which Pericles ruled this city","Athens"
"POETS","$200","On Feb. 12, 1959, the 150th anniversary of Lincoln's birth, he addressed a joint session of Congress","Carl Sandburg"
"LOST IN SPACE","$200","While making repairs on the Intl. Space Station, Scott Parazynski lost a needle-nose pair of these","pliers"
"TIMELESS TV","$200","September 2010 brought the 45th edition of this comedian's telethon","Jerry Lewis"
"LET'S HIT IT","$200","Hit this paper mache container, Spanish for "jug", if you want candy and small gifts","pinata"
"WORLD BOOK DESCRIBES THE "G" MAN","$200",""In 1997, the House (of Reps.) voted to reprimand him... It marked the first time the House had reprimanded a Speaker"","Gingrich"
"MONEY SLANG","$200","We'll give you $200, not $1,000, for this five letter word meaning stately or majestic","grand"
"RVs","$200","(<a href="http://www.j-archive.com/media/2010-12-07_J_26.jpg" target="_blank">Jimmy of the Clue Crew reports from the RV/MH Hall of Fame in Elkhart, IN.</a>)  The GMC Motorhome from the '60s & 70s was among the first models to have this innovation that helps with traction by putting the weight over the <a href="http://www.j-archive.com/media/2010-12-07_J_26a.jpg" target="_blank">wheels</a> that do the work","front-wheel drive"
"AMERICAN AUTHORS","$200","While he was in Spain in 1959, he wrote "The Dangerous Summer", a story about rival bullfighters","Hemingway"
"BEGINNING & END","$200","Like a door, a Broadway show does these 2 things","open & close"
"STATE SUPERLATIVES","$200","A valley at 282 feet below sea level in this state is the lowest point in the Western Hemisphere","California"
"3 LITTLE LETTERS","$200","Like banks, many grocery stores now have these for dispensing cash & taking deposits","ATMs"
"CALL OUT THE VOICE SQUAD","$200","He was the voice of Mickey Mouse in "Steamboat Willie"","Walt Disney"
"YOU'RE UNDER A "REST"","$200","Eastern European capital city of more than 2.2 million","Bucharest"
"AT THE KENNEDY CENTER","$200","In 1995 Luigi Bonino starred in a ballet about this "Little Tramp" of silent films","Charlie Chaplin"
"NATIONAL MONUMENTS","$200","Scotts Bluff National Monument lies in western Nebraska on this pioneer trail","Oregon Trail"
