"DR. SEUSS AT THE MULTIPLEX","$1200","<a href="http://www.j-archive.com/media/2004-12-31_DJ_26.mp3">Ripped from today's headlines, he was a turtle king gone mad; Mack was the one good turtle who'd bring him down</a>","Yertle"
"THAT OLD-TIME RELIGION","$1200","Philadelphia got its start as a colony for this religious group of which William Penn was a member","the Quakers"
"MUSICAL TRAINS","$1200","This "Modern Girl" first hit the Billboard Top 10 with "Morning Train (Nine To Five)"","(Sheena) Easton"
""X"s & "O"s","$1200","This stiff silken fabric is favored for bridal gowns, like Christina Applegate's in 2001","organza"
"SCIENCE CLASS","$1200","The wedge is an adaptation of the simple machine called the inclined this","plane"
"KIDS IN SPORTS","$1200","With a mighty leap of 5'1", David Mosely set the U.S. 10 & under record in this event back in 1977","the high jump"
"JUST THE FACTS","$1200","<a href="http://www.j-archive.com/media/2010-07-06_DJ_14.jpg" target="_blank">This dog breed seen here</a> is a loyal and protective companion","a German Shepherd"
"SEE & SAY","$1200","Say the name of <a href="http://www.j-archive.com/media/2010-07-06_DJ_28.jpg" target="_blank">this</a> bug; don't worry, it doesn't breathe fire","the dragonfly"
"NEWS TO ME","$1200","(<a href="http://www.j-archive.com/media/2010-07-06_DJ_21.wmv">Jimmy of the Clue Crew demonstrates, putting his arm over his mouth.</a>) To avoid spreading germs & maybe flu, we learned the sneeze named for this character made famous in an 1897 book","Dracula"
"IN THE DICTIONARY","$1200","Maize is another word for this","corn"
"WHAT'S IN A NAME?","$1200","This Welsh form of Margaret was among the USA's top 10 girls' names of the 1990s","Megan"
"NOT A CURRENT NATIONAL CAPITAL","$1200","Sofia, Sarajevo, Saigon","Saigon"
"U.S. WINTER OLYMPIANS","$1200","Life has its ups & downs for Travis Mayer, a 2002 medalist in the event named for these little hills on the slopes","moguls"
"SCIENCE","$1200","(<a href="http://www.j-archive.com/media/2006-02-06_DJ_13.jpg" target="_blank">Sarah of the Clue Crew reads from the pole vault at Duke University's track in Durham, NC.</a>)  In bending an elastic solid, stress is the force causing deformation & this is the 6-letter term for <a href="http://www.j-archive.com/media/2006-02-06_DJ_13a.jpg" target="_blank">the deformation</a>","strain"
"AT THE MALL","$1200","This "Urban" store is the parent company of Anthropologie","Urban Outfitters"
"FROM THE GREEK","$1200","From the Greek for "false name", it's a fictitious name used by an author","a pseudonym"
"I'D RATHER BE SKIING","$1200","In this type of race you have to zigzag between flags or other obstacles in proper order","a slalom"
"AMERICAN AUTHORS","$1200","Susan & Benjamin Cheever, children of this short story master, are both authors as well","John Cheever"
"ALBUMS THAT ROCK","$1200",""Master of Puppets", "Death Magnetic"","Metallica"
"ANATOMY","$1200","The talus fits between the ends of these 2 bones forming the ankle joint","the tibia & fibula"
"MATHEM-ATTACK!","$1200","(<a href="http://www.j-archive.com/media/2009-05-08_DJ_28.jpg" target="_blank">Kelly of the Clue Crew shows an array of numbers enclosed in brackets on the monitor.</a>)  A set of numbers in rows and columns can be used in many ways--for example, to encrypt a code or create 3-D computer graphics; the set shares this name with a 1999 film","a matrix"
"NAME THE DECADE","$1200","Khruschev's "Secret Speech" denounces Stalin","the 1950s"
"DEFENESTRATION IN CINEMA","$1200","Movie in which Axel Foley asks, "where ...you get off arresting me for being thrown out a window?"","Beverly Hills Cop"
"A MASSIVE "M"ETROPOLIS","$1200","1.1 million: in the heart of the Po River Valley","Milan"
"TAINTED GOV","$1200","In 2010 it was revealed that Robert Rizzo made $800,000 a year as the city this of Bell, Calif., population 37,000","manager"
"MEDICINE","$1200","Micro-Trach is an oxygen delivery system developed by this physician known for his "maneuver"","(Henry) Heimlich"
"EARLY AMERICA","$1200","In 1685 he joined his father in pastorship of the Old North Church, a post he held until his death","Cotton Mather"
"BEST PICTURE OSCAR-WINNERS IN OTHER WORDS","$1200","1976: "A Single Colorado Mountain"","Rocky"
"DOWN MEXICO WAY","$1200","Founded in the 1530s, this capital of Jalisco state is the second-largest in Mexico","Guadalajara"
"TAKE A PILL","$1200","Estramustine is a chemotherapy agent for this glandular cancer in men","prostate cancer"
"TRANSPORTATION","$1200","Cabbies in this Eur. city spend 2 years gaining "the knowledge", mental maps needed to get a license","London"
"SCOTLAND","$1200","Defeated at Dunsinane by Malcolm in 1054, he wasn't dethroned until killed by Malcolm in 1057","Macbeth"
"BABY BOOMER MEMORIES","$1200","The John Birch Society coined the term comsymp, short for this","Communist sympathizer"
""T"ELEVISION","$1200","This offbeat series on E! provides a daily recap of funny chat show highlights","Talk Soup"
"WORLD RELIGION","$1200","As they were partial to using hymns, these brothers, Charles & John, were the first rhythm Methodists","the Wesleys"
"SORTA SOUNDS LIKE OPRAH?","$1200","In an Irish battle cry, these 2 words follow "Erin"",""Go Bragh""
"GENERAL SCIENCE","$1200","(<a href="http://www.j-archive.com/media/2010-02-08_DJ_10.jpg" target="_blank">Jimmy of the Clue Crew holds a bicycle wheel</a>)  When I torque a spinning bike wheel, an equal and opposite torque causes me to rotate also, an illustration of the conservation of angular this","momentum"
"INSTRUMENT ETYMOLOGY","$1200","The first 4 letters of xylophone refer etymologically to this material used to make its sounding bars","wood"
"FACIAL EXPRESSIONS","$1200","In the 1600s Charles Le Brun drew illlustrations for each of the passions. <a href="http://www.j-archive.com/media/2010-02-08_DJ_16a.jpg" target="_blank">Here's</a> la haine, this opposite of love","hate"
"LIT MY FIRE","$1200","In Book 1 of this, Satan is "hurld hedlong flaming from th' ethereal skies... to dwell in adamantine chains and penal fire"","Paradise Lost"
"THE STAR'S TV SHOW & MOVIE","$1200",""Friends", "Bruce Almighty"","Jennifer Aniston"
"THE BIG 10-LETTER WORDS","$1200","Don't lose your head: this French device shares its name with an instrument for surgically removing tonsils","guillotine"
"PLAYWRIGHTS","$1200","(Sofia of the Clue Crew at the Nederlander Theatre in New York City)  This creator of "Rent" died the night of its final dress rehearsal, never knowing he would win the Pulitzer Prize","Jonathan Larson"
"THE 1890s","$1200","Relationship of Lizzie Borden to the woman she was acquitted of killing","stepdaughter"
"AMERICAN NICKNAMES","$1200","Born in 1905, he was the "Billionaire Recluse"","Howard Hughes"
""S"-OTERICA","$1200","It's a low-level football "catch" made near the ground by a running player","shoestring catch"
"VIETNAM","$1200","A fertile marshland, Vietnam's southernmost region is the broad delta of this river","Mekong"
"TOUR OF JUDY","$1200","Twice nominated for Oscars, this actress once studied at an Australian convent & sang in a rock band","Judy Davis"
"CAPITOL THINKERS","$1200","This Ariz. senator said of Bush's energy plan, "Just one pork barrel project larded onto another"","John McCain"
"MEET THE PARENTS","$1200","D.C. Comics, MapQuest.com, CNN","Time Warner"
"GROSS NATIONAL PRODUCTS","$1200","Sanma aisu is fish-flavored ice cream & taco aisu is octopus-flavored ice cream made in this country","Japan"
"POTPOURRI","$1200","There are Blue & White branches of this African river","the Nile"
"COLONIAL ARTS","$1200","Some of the earliest surviving colonial portraits are of Richard & Increase, members of this family","the Mathers"
"INTERNATIONAL CUISINE","$1200","The seafood in this Mexican dish is "cooked" not by heat, but by the acid in lime juice","ceviche"
"WE ARE THE CHAMPIONS","$1200","In 1993 she became the first woman from Ukraine to win the world figure skating championships","Oksana Baiul"
"RELIGION","$1200","Founded by & named for a Persian prophet, this religion flourished during Persia's Achaemenian empire","Zoroastrianism"
"PROBLEMS, PROBLEMS","$1200","(<a href="http://www.j-archive.com/media/2002-05-10_DJ_08.wmv">Cheryl of the Clue Crew peruses a model train hobbyist's fantasy setup.</a>)  If train "A" leaves at 6:00 at 60 mph, & train "B" leaves at 5:00 at 90 mph, this equation, d=rt, tells you when B passes A","distance equals rate times time"
""EN" THE BEGINNING","$1200","This Baja California port city is known as "Yellowtail Capital of the World"","Ensenada"
"WE ARE THE CHAMPIONS","$1200","At Wimbledon 2000, Venus Williams expressed appreciation for this 1957 & '58 champion","Althea Gibson"
"WOMEN ON U.S. STAMPS","$1200","1994: A Shoshone guide for a famous expedition","Sacagawea"
"MOVIE TITLE TRANSLATIONS","$1200","China and Taiwan reached the agreement that this film at "Full Throttle" would be "Hot Chicks: Full Speed"","Charlie's Angels"
"NATIONAL INVENTORS HALL OF FAME","$1200",""'Snow White and the Seven Dwarfs' was the first full length animated film to use" this inductee's multiplane camera","Walt Disney"
"LOVE POETRY","$1200","It makes sense that Marlowe's "passionate shepherd" promises his love "a gown made of the finest" this","wool"
"WORDS IN (THE) ENCYCLOPEDIA","$1200","Brown & white are the main U.S. types of this pouch-mouthed bird","pelican"
"HEADS OF STATE","$1200","He was born in 1921 on the island of Java; he left office in 1998","Suharto"
"CANALS","$1200","In 1825 the Seneca Chief became the first boat to traverse the length of this canal, reaching NYC on Nov. 4","the Erie Canal"
"NYPD TV","$1200","Max Greevey & Mike Logan were the original 2 N.Y. detectives who investigated crimes in the 1st half of this show","Law & Order"
"HIDDEN BOOKS OF THE BIBLE","$1200","Top chefs know that Pez rarely makes it onto the menu","Ezra (pez rarely)"
"BACK IN 1906","$1200","In September the Platt Amendment was invoked, allowing U.S. intervention in this Caribbean country","Cuba"
"FROM THE LATIN","$1200","It's from the Latin for "talking to oneself"; an example is heard <a href="http://www.j-archive.com/media/2006-03-17_DJ_23.mp3">here</a>  <i>"I'll have grounds more relative than this. The play's the thing wherein I'll catch the conscience of the King"</i>","a soliloquy"
"HISPANIC HISTORY","$1200","To supply Coronado's party, Hernando de Alarcon sailed 3 ships up this river in 1540 to where Yuma, Ariz. is now","the Colorado"
"THE LAST POPE OF THIS NAME","$1200","1878 to 1903 was the tenure of the XIII & last pope with this name that's also a sign of the Zodiac","Leo"
""IBLE"S & BITS","$1200","You chew with it","mandible"
"SCIENCE GUYS","$1200","In 1920, he was named director of the Institute of Theoretical Physics in Copenhagen","(Niels) Bohr"
"FUNNY FOR NOTHIN'","$1200","This Fox-TV cartoon boy: "Just so you don't hear any wild rumors, I'm being indicted for fraud in Australia"","Bart Simpson"
"CHICKENS FOR FREE","$1200","Chicken this "royal" way is served in a rich cream sauce with mushrooms, pimentos, green peppers & sherry","a la king"
"I LOVE L.A. KERS","$1200","This Laker giant was nicknamed "The Big Dipper" for his habit of dipping his head to fit through doorways","Wilt Chamberlain"
"COOKING EQUIPMENT FOOD","$1200","Made with cornmeal, it comes out of the oven so soft you have to eat it with the utensil in its name","spoon bread"
"INTERNATIONAL NAMES","$1200","4 times married, ex-German leader Gerhard Schroeder is aka Audi Man, for the car's symbol of 4 of these","rings"
"MYTHICAL CREATURES","$1200","The word "panic" comes from the name of a Greek god who was this type of creature","a satyr"
"THE "CO"-CATEGORY","$1200","It's a coop for sheep or pigeons","a cote"
"BIBLICAL PEOPLE & PLACES","$1200","(<a href="http://www.j-archive.com/media/2011-03-30_DJ_28.jpg" target="_blank">Jimmy of the Clue Crew stands on the bank of the Jordan River in Israel.</a>)  As depicted in art, after parting the River Jordan with his cloak, <a href="http://www.j-archive.com/media/2011-03-30_DJ_28a.jpg" target="_blank">this</a> biblical prophet followed a chariot of fire into Heaven","Elijah"
"PHILMOGRAPHIES","$1200",""Buster", "Hook", "The Genesis Concert Movie"","Phil Collins"
"GET SMART","$1200","A Boston study found doing this for 40 minutes a day builds up the cerebral cortex; monks must be really smart!","meditate"
"U.S. GEOGRAPHY","$1200","Tributaries of this Mississippi tributary include the Cheyenne, James & Platte","the Missouri"
""CH"ILL OUT!","$1200","The Chinese call these kuaizi","chopsticks"
"BRASS","$1200","We shall return to this man who graduated from West Point in 1903 with the highest honors in his class","Doug MacArthur"
"STRINGS","$1200","To make this candy, put a string in a glass of sugar & water that was boiled to a syrup & let stand for a week","rock candy"
"WOOD & WIND","$1200","His play "Under Milk Wood", about the inhabitants of a Welsh seaside town, was published posthumously","Dylan Thomas"
""PER"CUSSION","$1200","Russian for "rebuilding", this term was first used by Gorbachev in the mid-1980s","perestroika"
"CONDUCTORS","$1200","Unlike most nonmetals, this element with the symbol B is a workable conductor","boron"
"SYMPHONIES ON FILM","$1200","In 1998's "Serengeti Symphony", the title nature reserve in this country is shown with only music & natural sound","Tanzania"
"CONSTITUTIONAL AMENDMENTS","$1200","The 13th Amendment, which abolished slavery, was ratified in this year","1865"
"SPORTS OF THE FEMALE OLYMPIANS","$1200","Misty May & Kerri Walsh","beach volleyball"
"LOW CUT GENES","$1200","Since the 1980s this hormone used by diabetics has been produced by genetically engineered bacteria","insulin"
"IN THE DICTIONARY","$1200","The name of this 6-pointed star comes from the Greek for "six" & "letter"","a hexagram"
"FINE DINING","$1200","This word for a French stew is pronounced the same as a pasta sauce brand","ragout"
"TAKE OUT","$1200","A lobectomy removes one of the 5 lobes of the lungs; a lobotomy takes out part of this organ","the brain"
"WHAT'S YOUR BEEF?","$1200","A New York steak is also known as this alliterative steak","strip steak"
"WEAPONS OF WORLD WAR II","$1200","Today, this Japanese car company makes the galant; in WWII, it was better known for its A6M "Zero" fighter","Mitsubishi"
"THE LIVING PLANET","$1200","Relative to the size of the bird, this flightless New Zealand denizen has the largest egg","the kiwi"
"ACTING PRESIDENTS ON TV","$1200","Fred Armisen as Barack Obama","Saturday Night Live"
""A" SCIENCE CATEGORY","$1200","(Kelly of the Clue Crew stands behind a table)   The experiment showing that two objects weighing the same displace different amounts of water because they have different densities was developed by this mathematician","Archimedes"
"MOVIE CITIES","$1200","2010, starring Kristen Bell: "When in ____"","Rome"
"LAST NAME'S THE SAME","$1200","Late radio commentator Paul & James I's physician William","Harvey"
"WOMEN: WRITE ON!","$1200","Esther Greenwood is an aspiring poet in this poet's novel "The Bell Jar"","Sylvia Plath"
"GOAT-POURRI","$1200","In "The Hunchback of Notre Dame", Pierre Gringoire rescues this gypsy girl's goat from a mob","Esmeralda"
"TV PRODUCERS","$1200","He moved from "Melrose Place" to the east coast for "Central Park West" & "Sex & the City"","Darren Star"
"TOUGH BODIES OF WATER","$1200","Rivers that flow into this sea include the Dnieper, Dniester & Danube","the Black Sea"
"HELLO, DELI!","$1200","Someone pass me this noodle pudding filled with raisins  & nuts","kugel"
"ALSO A BOOK IN THE BIBLE","$1200","Hey, this, don't be "obscure"","Jude"
"IS IT "TEA" TIME YET?","$1200","This slang synonym for oil is mentioned in the theme song to "The Beverly Hillbillies"","Texas tea"
"RUSSIAN SCIENTISTS","$1200","In the mid-18th c. Mikhail Lomonosov became the first scientist to record the freezing of this liquid metal","mercury"
"CANADIAN FOOTBALL","$1200","French for "red", it's the term used for the point that is scored if a punt goes out of the end zone untouched","rouge"
"GUYANESE GEOGRAPHY","$1200","Spectacular waterfalls in Guyana include one named for a British king of this name, who ruled 1901-10","Edward"
"TURKISH LITERATURE","$1200","Sultan Abdulhamid II's censorship hindered Ottoman writers until this "youthful" group's 1908 revolution","the Young Turks"
"CHINESE CALENDAR ANIMALS","$1200","This sign for 2006 shows devotion to family; aren't you a good sign? Yes you are! Good sign!","the dog"
"BRAZILIAN WORDS & PHRASES","$1200","Cousin Fred said he was Napoleon last night; I'm afraid he might be "maluco", this","crazy"
"OSCARS OF THE '70s","$1200","Of Jack Nicholson's 5 nominations in the 1970s, this was the only movie for which he won","One Flew Over the Cuckoo's Nest"
"THE STING","$1200","The creature known as this "false" arachnid has venomous pincers & no tail","a scorpion"
""ROCK"Y","$1200","Also known as the Mosque of Omar, it was home to the Knights Templar during the Crusades","the Dome of the Rock"
"THE GODFATHER","$1200","He was the royal godfather to the son of French playwright Moliere","King Louis XIV"
"DEAR JUNTA","$1200","This former priest was ousted in Feb. 2004, even after a U.S.-brokered deal in 1994 with the Haitian junta kept him in power","Aristide"
"INSIDE THE ARTIST'S STUDIO WITH JAMES LIPTON","$1200","(<a href="http://www.j-archive.com/media/2007-01-12_DJ_28.jpg" target="_blank">James Lipton reads the clue.</a>) You finished "<a href="http://www.j-archive.com/media/2007-01-12_DJ_28a.jpg" target="_blank">The Sick Child</a>" in 1886.  7 years later, the world would recoil from "The Scream."  Tell us about your pain","Munch"
"MAJOR LEAGUE BASEBALL NICKNAMES","$1200",""The Big Hurt"","Frank Thomas"
""O"PERA","$1200","Verdi's work on this General's life opens in Cyprus; Shakespeare's tale begins in Venice","Otello"
"WORLD MUSEUMS","$1200",""ANZACs in France, 1969" was a 2006 exhibit at a war museum in this capital city","Canberra"
"LIFE SCIENCE","$1200","In nat. selection, a ref froggus trebekus has .5 relative fitness if it produces 1/2 as many of these as a pink one","offspring"
"DOUBLE MEANINGS","$1200","I liked that girl with the cute little _____ nose, so to have her _____ me really hurts","snub"
"WHAT'S ON TV?","$1200","This Neil Patrick Harris sitcom is narrated through flashbacks from the future","How I Met Your Mother"
"LAW ENFORCEMENT","$1200","This agency's criminal justice information services div. has the fingerprints of more than 47 million people","the FBI"
"LITERATURE","$1200","People from the past appear to a brother & sister in "Rewards and Fairies" by this author of "The Jungle Book"","Kipling"
"COMPANIES YOUNGER THAN YOU","$1200","While a student at Northeastern, Shawn Fanning started this P2P music-sharing service that now gone legit","Napster"
